Title;Brand_product;title_group;Artikelnr;Weight product;Price;Link to img
Schweizer Winterjoghurt;Milbona;Neu im Sortiment;2332;pro 200g;0,54;https://sortiment.lidl.ch/media/catalog/product/cache/38c728e59b3a47950872534eff8a1e63/2/3/2332_ApfelZimt_PSXX.jpg
Polenta fein;Belbake;Neu im Sortiment;6000120;pro 500g;0,63;https://sortiment.lidl.ch/media/catalog/product/cache/38c728e59b3a47950872534eff8a1e63/6/0/6000120_PSXX_3.jpg
Machland Fruit & go Squeezer;Machland;Neu im Sortiment;5002343;pro 100g;0,69;https://sortiment.lidl.ch/media/catalog/product/cache/38c728e59b3a47950872534eff8a1e63/5/0/5002343_Apfel_Banane_Erdbeere_PSXX.jpg
Premium Hundenassnahrung;Orlando Gourmet;Neu im Sortiment;126679;pro 150g;0,75;https://sortiment.lidl.ch/media/catalog/product/cache/38c728e59b3a47950872534eff8a1e63/1/2/126679_Kalb_PSXX.jpg
Veganes Reisdessert;Vemondo;Neu im Sortiment;173018; ;0,79;https://sortiment.lidl.ch/media/catalog/product/cache/38c728e59b3a47950872534eff8a1e63/1/7/173018_KokosFront_PSXX.jpg
Kosmetiktcher 2-lagig;Cien;Neu im Sortiment;19570;Not weight_product;0,85;https://sortiment.lidl.ch/media/catalog/product/cache/38c728e59b3a47950872534eff8a1e63/1/9/19570_01_PSXX.jpg
Choco-Drink;Milbona;Neu im Sortiment;1574;pro 500ml;0,89;https://sortiment.lidl.ch/media/amasty/amoptmobile/catalog/product/cache/38c728e59b3a47950872534eff8a1e63/1/5/1574_PSXX.jpg
Glasnudeln;Combino;Neu im Sortiment;89804;Not weight_product;0,99;https://sortiment.lidl.ch/media/catalog/product/cache/38c728e59b3a47950872534eff8a1e63/8/9/89804_Combino_PSXX.jpg
Grillsaucen;Kania;Neu im Sortiment;2256;pro 300ml | 1l = 3.30 CHF;0,99;https://sortiment.lidl.ch/media/catalog/product/cache/38c728e59b3a47950872534eff8a1e63/2/2/2256_Barbeque_PSXX.jpg
Hygiene-Einlagen;Siempre;Neu im Sortiment;29416;pro 12 Stck | 1 Stk = 0.11 CHF;1,25;https://sortiment.lidl.ch/media/amasty/amoptmobile/catalog/product/cache/38c728e59b3a47950872534eff8a1e63/2/9/29416_PSXX.jpg
Hygiene-Einlagen;Siempre;Neu im Sortiment;29415;pro 14 Stck | 1 Stk = 0.09 CHF;1,25;https://sortiment.lidl.ch/media/catalog/product/cache/38c728e59b3a47950872534eff8a1e63/2/9/29415_PSXX.jpg
Crme Frache Alternative;Vemondo;Neu im Sortiment;5540057;Not weight_product;1,29;https://sortiment.lidl.ch/media/catalog/product/cache/38c728e59b3a47950872534eff8a1e63/5/5/5540057_PSXX.jpg
Gggeli;Bonvalle;Neu im Sortiment;5106885;Not weight_product;1,29;https://sortiment.lidl.ch/media/catalog/product/cache/38c728e59b3a47950872534eff8a1e63/5/1/5106885_FKBF.jpg
Kokosraspeln;Belbake;Neu im Sortiment;148486;Not weight_product;1,35;https://sortiment.lidl.ch/media/catalog/product/cache/38c728e59b3a47950872534eff8a1e63/1/4/148486_PSXX_1.jpg
TIN Kchenreiniger;Not weight_product;Neu im Sortiment;5103787;Not weight_product;1,39;https://sortiment.lidl.ch/media/catalog/product/cache/38c728e59b3a47950872534eff8a1e63/5/1/5103787_PSXX.jpg
Schokoladentropfen;Belbake;Neu im Sortiment;138285;Not weight_product;1,39;https://sortiment.lidl.ch/media/catalog/product/cache/38c728e59b3a47950872534eff8a1e63/1/3/138285_PSXX.jpg
Jos Poell Pastetli;Jos Poell;Neu im Sortiment;6608345;Not weight_product;1,39;https://sortiment.lidl.ch/media/catalog/product/cache/38c728e59b3a47950872534eff8a1e63/6/6/6608345_PSXX_1.jpg
Alpro Soja Cuisine;Alpro;Neu im Sortiment;155554;Not weight_product;1,49;https://sortiment.lidl.ch/media/amasty/amoptmobile/catalog/product/cache/38c728e59b3a47950872534eff8a1e63/1/5/155554_PSXX.jpg
Rollschinkli;Maestade;Neu im Sortiment;5108398;pro 100g,;1,49;no img
Cornichons;Freshona;Neu im Sortiment;140143;pro 370ml | 100g = 0.79 CHF;1,49;https://sortiment.lidl.ch/media/catalog/product/cache/38c728e59b3a47950872534eff8a1e63/1/4/140143_PSXX.jpg
Saurer Halbrahm;Milbona;Neu im Sortiment;2383;pro 200g;1,55;https://sortiment.lidl.ch/media/amasty/amoptmobile/catalog/product/cache/38c728e59b3a47950872534eff8a1e63/2/3/2383_PSXX.jpg
Vegan Coffee Drink;Vemondo;Neu im Sortiment;173661; ;1,59;https://sortiment.lidl.ch/media/catalog/product/cache/38c728e59b3a47950872534eff8a1e63/1/7/173661_Hafer_Oben_PSXX.jpg
